key,dev_en
monster_Flickie_descriptionKey,"Flickies are the inhabitants of the ‘dark fire’ pits, unseen by man for generations. These quirky, fast-moving gremlins are capable of causing chaos wherever they roam."
monster_Fliploch_descriptionKey,A cruel and dark monstrosity raised from the depths of the darkest waters in the land. The Fliploch has an appetite for pain and despair; these creatures are built for battle.
monster_FrankSTein_descriptionKey,"This monster is unlike others. Frank is the product of a creepy experiment, and now he's alive! Created by a crazy professor, Frank has only one thought inside his poor brain: CRUSH!"
monster_FreedomFeather_descriptionKey,"If you want a free land, you have to fight for it. But after the fight, you should follow democratic mechanisms that legitimate your cause. Freedom Feather can do both; win a war or sign a declaration of independence. Just like that."
monster_Freettle_descriptionKey,"Nicknamed ""The Stag"", this Freettle has a point to prove and is always trying to show off. Young Freettles use their wings to fly, but the elders have no need for such frivolities; they harness the power of the planet's core itself!"
monster_Freeza_descriptionKey,"Freeza is uncomfortable and grumpy. His scarf itches, his hat makes him sweaty and his nose is so long it falls off all the time. He's always in such a bad mood that he spends the whole winter throwing snowballs at anyone who dares to sing carols next to him."
monster_GarudaM3_descriptionKey,"Garuda M3 is a mechanical beast with the power of thunder, and strong metal attacks. He has extendable arms and explosive spikes that can damage all enemies at the same time."
monster_Gastosquish_descriptionKey,"Things get very messy when Gastosquish is involved! Slick and slimy, Gastosquish is great for supporting your team and soaking up enemy attacks."
monster_Genie_descriptionKey,"Formed from bright, hot-blue fire and able to travel great distances in the blink of an eye. Think twice before entering into any kind of agreement with these magical marvels."
monster_Gigram_descriptionKey,Gigram lives for adventure! She is known as the greatest explorer in the world. Her chromatic fur is a symbol for all aspirants who follow it as an inspiration.
monster_Giragast_descriptionKey,Raaawwwwwwrrr gluuuubbb buuuuuurrrrrrrrrrlllll kek agol *BURP*. I think you just got eaten by Giragast...\n
monster_Goathel_descriptionKey,"Thunder and Light powers, when combined, could transform anyone into a powerful creature. Goath'el got the best of both powers... and a predilection for grass."
monster_Goldcore_descriptionKey,"Born in the deep below where it is over 9000 degrees, Goldcore is a hard monster. His knees are a bit weird though; don't ever mention that!"
monster_Goldfield_descriptionKey,"Magic can be neither created nor destroyed, but can change form and Goldfield is the pure form of Magic. Be careful with his tricks; because they hurt!"
monster_Gravoid_descriptionKey,"Even scarier than his horrible jaws, Gravoid is but one specimen of a whole subterranean worm colony. His enemies don't see anything dangerous in front of them, but underground..."
monster_Greenasaur_descriptionKey,"A young Greenasaur has little control over her flames and can be a menace in the forest, suffering exile and rejection. However, once grown, Greenasaur helps to protect everything she loves with strength and wisdom."
monster_Greygoyle_descriptionKey,"Cursed to become stone when the sun rises, Greygoyle has learned to become a rock at will, making him a very ""hard"" opponent."
monster_Griffex_descriptionKey,"These creatures have a fixation with gathering gold. In order to protect their loot, they electrify it. They are so rare, that you can buy a house with one Griffex feather!"
monster_Haku_descriptionKey,"Haku was a good ninja but his ambition drove him mad. He traded his arms for blades and his whole body became steel, including his heart. The only thing he knows now is a thirst for killing."
monster_Haze_descriptionKey,"Many ""villains"" are just misunderstood, Haze however is pure evil! He is the reason that Razfeesh always looks so grumpy and why Dolphchamp was tricked into growing that hideous moustache!"
monster_Heimdal_descriptionKey,"This savage warrior has been offered all kinds of treasures by the most powerful kings, who've begged him to join their armies, but he's an individual fighter whose only interest is to engage in brutal battles."
monster_Hellberus_descriptionKey,"As a proper Watchdog, if you dare to cross the Hell Gates, he will let you in. But of course, he won't let you out. His fleas are fireproof."
monster_Hellborne_descriptionKey,Weird things happen when Hellborne is around. Creatures behave in a strange way and they all obey his orders. It is suspected that the flames that surround his body give off a toxic smoke that manipulates others’ intentions.
monster_Hydnora_descriptionKey,"Nature is Beauty, and Hydnora is the avatar of nature. Nature is also one of the most powerful forces of the Earth, so you can imagine how powerful Hydnora is..."
monster_Hyperion_descriptionKey,"This metal and amethyst golem was created 1000 years ago and was able to destroy entire towns. Now that the Metal element has burst into Monster Legends, this beast has awoken and acquired cutting-edge technology."
monster_Irockman_descriptionKey,"This monster is one of the most difficult to kill. He is not made of just normal rock, but much stronger electrified rock. He also uses shields to protect himself. Tough, very tough."
monster_Jonskeer_descriptionKey,"This weird monster has a lot of metal flakes that he'll use as a defence, or even as projectiles. Jonskeer is very aggressive, but he also has some good virtues, like dancing. He really loves it!"
monster_KalDrekk_descriptionKey,"Kal’Drekk is like the troll version of Attila the Hun. He’s the ruthless commander of an army of trolls whose only goal is to destroy everything in their path. Kal’Drekk is also a distant relative of Arnu, can you see the resemblance?"
monster_Karasu_descriptionKey,"Silent, deadly and humble, this being has arrived in the New Kingdoms from the land of the Rising Sun. This straight-up warrior gets the upper hand in fights with his Ninjutsu."
monster_KimmelsGift_descriptionKey,The anger of all the unliked presents has generated this evil being.
monster_Komocat_descriptionKey,"Komocat has muscles in places where most of us don’t even have places. But don’t get too close to check this, because his hobby is to take the poison from venomous plants and throw it at his enemies!"
monster_Koopigg_descriptionKey,"The rebel! Koopigg wants to break free from his father's evil shadow and forge his own path. You won't find Koopigg kidnapping any princesses. He wants to grow stronger, what happens next is unknown."
monster_Lagerchaun_descriptionKey,"To attract a Lagerchaun, the best lure is either a pint or a fight. He won't leave while there are beers to drink or people to smash!"
monster_Laomu_descriptionKey,"She exists on a higher spiritual level, so she seems a bit disconnected from reality, but the truth is that her wisdom has been very helpful to other monsters in times of trouble. Plus, occasionally she enjoys something as mundane as a veggie burger!"
monster_Lesaki_descriptionKey,Lesaki is an electric metal lizard. Thunder and Metal make for a powerful combination. He is able to channel his Thunder power through his spiked axe for devastating attacks.
monster_LightSphinx_descriptionKey,The Light Sphinxes were the holy guardians of the ancient pharaohs. Nowadays they watch over the tombs to keep out adventurers who seek to plunder their vast treasures!
monster_LightSpirit_descriptionKey,"These lighthearted pixie creatures spend most of their time unseen. On account of how they are made from light - they often get mistaken for mirages, yet here they are, right on your island!"
monster_LordMoltus_descriptionKey,"The Lord of the Blaze has come to defeat his enemies with the purifying power of Fire. No one can resist the power of the Burning Star, his powerful mace."
monster_LordoftheAtlantis_descriptionKey,Being the Lord of the Sea was not enough for him. He decided to cross the forbidden shore to rule the solid ground; and he came ashore meaning to stay. As a good ruler he inspires and protects his fellow warriors
monster_Lostyghost_descriptionKey,"Lostyghost is trying to find what he needs to stop roaming the living world. Along the way, he enjoys scaring people and making children cry. Not believing in ghosts doesn't mean they don't exist..."
monster_Manolyth_descriptionKey,Manolyth has a bit of a temper. He used to announce himself as the greatest sorcerer of all time but people didn’t take him seriously so he just started hexing everyone he didn’t like. Make sure you’re nice to him!
monster_MasterFong_descriptionKey,"Master Fong isn’t just one of the greatest warriors alive, he’s also a respected master and has taught many monsters how to win battles. Pandaken is one of his most famous pupils!"
monster_Medussha_descriptionKey,"Half woman, half snake, Medussha can win a battle with her gaze alone. When a new season arrives, she sheds her skin, and becomes even more dangerous."
monster_Mersnake_descriptionKey,"Shy and unassuming, this tricky creature is a master of the water realm and sharper than shattered glass. The Mersnake may be slow on land, but it's as dangerous as it is graceful in the ocean."
monster_Metalhad_descriptionKey,"Heavier than a rain of axes. He’s all about motorcycles and raw meat. We tried to ask him more questions to write this piece for you but he kicked us out of his habitat after two minutes. Doesn’t seem to like people, this one."
monster_Metalsaur_descriptionKey,"Metal monsters are tough, hard to beat and dazzling. Metalsaur is pure metal, common but deadly. And now with him, a new age of breeding has started! The new Metal element is here!"
monster_Metanephrops_descriptionKey,This armored monster is really dangerous if you're under water. Do you think you're safe just because there's no water near you? Metanephrops can cast an entire sea against you!
monster_Metaselach_descriptionKey,Metaselach is a shapeshifting monster assassin. He can assume the form of other objects to inflict heavy damage. If you see a fin coming at you... Run away!
monster_Molem_descriptionKey,"Helmantica was destroyed long ago, but Jack's dreams came true. And from the ruins, the moss and the magic, Molem took life. It will be hard for anyone to stop him."
monster_MonsterClutch_descriptionKey,"These Easter egg-looking monsters hide under the ground with the other Easter eggs and when kids find them, they fly out and bite their fingers!"
monster_Musu_descriptionKey,"Musu are playful and mischievous water spirits. Taking the form of a dragon, they like to trick and troll passers by, rendering them soaking wet and confused but always smiling. \n"
monster_Nebotus_descriptionKey,"Evil energy covered in legendary armor. As if this is not enough, his sword will fill your sleep with nightmares. Be aware of his sorcery, roger that?"
monster_Nemestrinus_descriptionKey,"Nemestrinus has existed for ages, but was never seen. Now is the moment when the champion of the Forest needs to show himself to defend the weak equilibrium of the ecosystems."
monster_Obsidia_descriptionKey,"Obsidia are closely related to Gorilla. Twice as fierce, and rocking a killer hairstyle, these agents of chaos are not to be trifled with!"
monster_Octocrush_descriptionKey,She wasn't allowed a shot at the world boxing title because...well she's an octopus isn't she? This is a pity as she can give anyone a run for their money in the (underwater) ring.
monster_Omethyst_descriptionKey,"Heavy as a rock, hard as steel, Omethyst is really tough. This adamantine monster is hard to defeat, even for the most powerful monsters."
monster_Panda_descriptionKey,"The Panda, long a symbol of melancholy and sadness, but no longer! These Pandas are Nature's ninjas!  What they lack in stealth, they more than make up for in unexpected agility, reflexes and... clumsiness."
monster_PandaClaus_descriptionKey,"He works once a year and, when he's not working, he's fighting against all kind of monsters. Best way to stay in shape!"
monster_Pandaken_descriptionKey,"Pandaken possesses the will of fire, a great love for nature and a weakness for fine ale. He dedicates his life to training in the Wang Sun mountains, gaining monstrous strength and finely-honed reflexes."
monster_Pandalf_descriptionKey,"Part panda, part wizard. Behold – Pandalf! When the going gets tough Pandalf has a host of tricks and distractions up his sleeve. When not locked in combat, he loves to conjure smoky spectres of legend!\n"
monster_Pandaval_descriptionKey,"Introducing Pandalf's little brother! The story goes like this: For years, Pandaval tried to be as wise and focused as his older brother, but he just wasn't born that way. Instead, he decided to go his own way and devote his life to partying in Brazil. A vida é um carnaval!"
monster_Pelitwirl_descriptionKey,"Such smooth, natural style and grace. The agile swift swooner Pelitwirl deftly dances through epic destruction!"
monster_Pulseprism_descriptionKey,"Light, everywhere! It’s all up in your face, you can’t get away from it. All of the colours that you can possibly imagine and then some. Beautiful, terrifying, mesmerizing light."
monster_Pyrook_descriptionKey,"Flaming...castles? Yes! You know what you're gonna get with Pyrook, as he always follows the rules to the letter. He's certainly no pawn to be taken for granted though and occasionally even takes a white knight."
monster_Raane_descriptionKey,"The water sprite with a bite! This monster has a very famous voice and can often be found commenting on matches in the Monster Arena and playing the harmonica, bring the rain!"
monster_Rabidex_descriptionKey,"The rampant Rabidex tunnels underground waiting for the right moment to strike! When you walk through the countryside there will always be a wild Rabidex close by, waiting...waiting to pounce!"
monster_Rarawr_descriptionKey,"Lazy would be the word to describe Rarawr. He only stirs to eat or because he has been disturbed. When he does move, devastation follows in his wake! He also has a *serious* digestive problem."
monster_Raydex_descriptionKey,"Raydex is known as the ""buzz pecker"", after his tendency to peck holes in everything then blast it with electricity. Raydex is really just looking for true love, but struggles since everything he touches gets a nasty shock!"
monster_Razfeesh_descriptionKey,"The Razfeesh is a distant relative of the piranha.  Pack hunters by nature but immensely effective in solo combat, these fishy devils are sharp as a razor."
monster_Rhodent_descriptionKey,"Enemies usually don't know how they got injured when facing Rhodent. He's simply too quick for the eye. If you see a flash, you're probably already dead."
monster_Rhynex_descriptionKey,"Electro-charged stomping power, pure and simple. Rhynex’s horn packs a seriously high voltage punch, and he's afraid to charge. Still, he makes a good companion, especially when the power is out."
monster_Roastie_descriptionKey,Roastie won't allow you to stuff him with onions and throw him into the oven. He plans to throw YOU in instead!
monster_Rockadona_descriptionKey,"In his country, rockball is more than a religion. Winning or losing will decide the fate of his brothers. Rockadona is not worried about that - he is the best!"
monster_Rockaggio_descriptionKey,"An expert player, he understands that the best defense is a great offense. Hard to beat, he will take advantage of his rival's weaknesses."
monster_Rockamura_descriptionKey,"Disciplined and effective, his play is more practical than fancy. Rockamura's determination should be an example for his rivals, but it's generally their downfall."
monster_Rockanne_descriptionKey,"With class, technique and experience, Rockanne is a legend. He will be remembered for being one of the top players of his generation, and for his stellar performance in his final match."
monster_Rockantium_descriptionKey,"Rockantium’s club weighs half a ton. If we add this to the fact that his strength allows him to use it as if it were made of paper, you can imagine how hard he hits! You’ll rarely be able to move after being attacked by him!"
monster_Rockarito_descriptionKey,"Rockarito has something to prove in the Rock Cup.  Strong and intelligent, he will tire his foes before going in for the last hit."
monster_RockDruid_descriptionKey,"A pure ray of light was traveling through space, until a gravitational pitfall attracted it. The light fell into that trap and became imprisoned in rock. To be free, the only thing that it can do is to find and shut down the Obscure Light."
monster_Rockham_descriptionKey,"Style, class and precision: Rockham has elevated rockball to its maximum level. He has no problems playing rough or going to fashion shows."
monster_Rockidson_descriptionKey,"""Never stop trying"": This is Rockidson's motto. He trains hard, using brute strength to compensate for his lack of skill!"
monster_Rockiesta_descriptionKey,"Rockiesta and his teammates don't care about food, only the game, and they work together in order to be Champions again. They know how to play and they are very difficult to beat."
monster_Rockilla_descriptionKey,These hardened souls roam the earthy plains in search of their tail. They live by a strict code favoring loyalty over all else; any who challenge this are reduced to dust by a swift blow from their gargantuan fists.
monster_Rockinho_descriptionKey,Rockinho is happy. He loves what he does and he is going to host a big party where the Canarinha will put on a show for their fans.
monster_RockLiSun_descriptionKey,Rock Li-Sun will do anything to win!  He doesn't have enough time to train effectively so will employ dirty tactics if he has to.
monster_Rockovan_descriptionKey,"Rockovan and The Yanks are a bit confused. Everybody says they are playing football, but in fact they are playing soccer. He doesn't care; they have skills enough to score; no matter the game."
monster_Rocksteiger_descriptionKey,A perfect machine with just one aim: to win. Rocksteiger has been waiting far too long for this chance and now the moment has arrived. His rivals fear him.
monster_Rodolph_descriptionKey,"An elite navigator, with his magical nose he will drive you to victory!"
monster_Rootziel_descriptionKey,"This ancient and pure soul of the forest has been learning to control the sacred, yet forgotten, elemental runes for ages. Will those powers be enough to vanquish the darkest powers?"
monster_Rosanha_descriptionKey,"Roses are red, thorns are spiky. I’m going to  kill you."
monster_Rudicius_descriptionKey,"The wisest of all the monsters, Rudicius is the mastermind behind all of the skills and strategy in the modern monster world. Students come from all around for his expert tutelage."
monster_Sasquach_descriptionKey,"People look for him in the northern forests, but he's actually leaving his footprints in the New Kingdoms!"
monster_Scorchpeg_descriptionKey,"Only the bravest can try to tame Scorchpeg and walk away unsinged. This wild stallion soars in the skies close to the sun to recharge its raging fires. But if tamed, Scorchpeg can keep you warm on the darkest nights."
monster_Sealion_descriptionKey,"It is easy to mistake sealions' blue fire for ice. Don´t be fooled though, as it burns even hotter than a regular flame and is impossible to quench! The king of the jungle is top of the underwater food chain now!"
monster_Shanky_descriptionKey,"Dinosaurs are cool. Don't be fooled by those sharp claws; Shanky is actually a vegetarian. He is super cheeky, relaxed and knows what he likes. He is often full of mischief!"
monster_Sheluke_descriptionKey,"Though primarily water dwellers, these playful kind hearted creatures can hold their breath on land for months at a time. They love to blow bubbles and eat plants without chewing!\n"
monster_ShHu_descriptionKey,"Shí Hóu is a skilled fighter, capable of holding his own against the best warriors of heaven. His strength and capacity to empower his skills give him the ""Monkey King"" alias."
monster_ShockTurtle_descriptionKey,"Despite being living, breathing contradictions to the laws of science, these creatures get on just fine. If fine means burping lightning, that is. Water and electricity don’t mix, kids!"
monster_SirSlumberly_descriptionKey,"In the past, Sir Slumberly was a respectable colonel who fought in countless wars. But in death, his body cannot find peace. Now, he's a tortured soul with but one goal: tormenting his enemies."
monster_Skipples_descriptionKey,"Once the brightest pupil of Rudicius, Skipples parted ways to go off on his own adventures to continue his training. Now a master in his own right, he searches for his lost love."
monster_Skuller_descriptionKey,"Who said Easter bunnies were cute? This one in particular carries around a bone from his first victim. He uses it as a baseball bat. Cute, huh?"
monster_SonCookie_descriptionKey,Son-Cookie is a showoff. He wears the best quality frosting scarves and the shiniest jelly buttons to impress everyone. He says he could crush any monster with his bare cookie hands. Out of the oven and into battle!
monster_Sparkwedge_descriptionKey,Magical and electrifying! Sparkwedge will win you over with pure awesomeness.
monster_Succuba_descriptionKey,"Eternally jealous that Fayemelina got the looks in the family, Succuba has a frightful temper. Pain and torment drive her as she wishes unhappiness upon her enemies."
monster_TaoTao_descriptionKey,"After a big mistake, he was cursed to have a pumpkin for a head. Crows pecking him wherever he goes isn't very nice either. This is why he always tries to eat candy; the only sweet thing in his existence."
monster_Tartarus_descriptionKey,"When you guard evil, it's normal that you become evil, too. But if you're loyal to your principles and know how to balance your duties and beliefs, you won't have a problem staying on track."
monster_Tarzape_descriptionKey,"An ape who was raised by...apes! Tarzape lives a simple life, filled with laughter and adventure. Although quite passive, he will fiercely defend himself if in danger."
monster_TeddyFear_descriptionKey,"Every time we break up, she tears apart the little bear I gave her."
monster_Terracrank_descriptionKey,A magical golem with a heart! Terracrank has developed emotions and can think for himself. He sees the world with the eyes of a child and is amazed by its wonders.
monster_TerrorDactyl_descriptionKey,"Translated from ancient dinosaur language, Terror Dactyl literally means... run away! This is a scary monster, he wants to eat you and release your darkest fears. Handle with care."
monster_Thorder_descriptionKey,"He is the Rider of Thunder! Although he is faster than almost all other creatures, he focuses on slowing his enemies down to abuse them. A dangerous enemy to face; he can hit you repeatedly before you can even react!"
monster_Thundenix_descriptionKey,"The dazzling beauty of a Thundenix's plumage is second only to the explosion of power if you put one under threat. When exhausted, Thundenix is reborn as an egg, making it immortal too!"
monster_ThunderEagle_descriptionKey,"The Bringer of Storms, a once-loyal servant to the Gods of Thunder, transformed into Thunder Eagle form after a terrible betrayal. This sparky creature offers the perfect mix of grace and danger."
monster_Thundhare_descriptionKey,"The Easter Hare is the judge that used to bring eggs to good people. In the New Kingdoms, however, the Thundhare delivers magical justice and punishes bad actions. Everyone is wary since his arrival."
monster_Treezard_descriptionKey,"The Treezard has long been a symbol of melancholy and sadness. But no longer! These Treezards are nature's ninjas! What they lack in stealth, they more than make up for in unexpected agility, reflexes and... clumsiness."
monster_Trevor_descriptionKey,"The Celtic druids used to go to a mountain to pick clovers for their potions. One day, an old druid accidentally dropped a bottle of potion and spilled the liquid all over the mountain, which came alive. That was the birth of Trevor."
monster_Turtle_descriptionKey,"Shy and unassuming, this tricky creature is master of the water realm and sharper than shattered glass. The Water Turtle may be slow on land, but he’s as dangerous as he is graceful in the ocean."
monster_Tyrannoking_descriptionKey,"Hail to the king baby! Self-proclaimed Kings of the Lizards, these dark creatures offer the perfect mix of danger, mystery and coolness to any island. Just don’t mention their short arms... these tyrants have got a bite!\n"
monster_Uriel_descriptionKey,"Uriel, ""The light of God"", existed before any monster walked the Earth. The true power of the Holy Light will be accessible only for a master player. Are you the chosen one?"
monster_Utochomp_descriptionKey,"The Utochomp is a large bulky omnivore.  He uses his huge beaklike mouth to grind and crush his foods before swallowing, using the same technique on his enemies too!"
monster_Vadamagma_descriptionKey,"Vadamagma sleeps inside of a volcano. When he awakes, it's for fighting and when he fights, it's to obliterate his enemies. He enjoys the heat of battle, and the smell of victory in the morning."
monster_VanRock_descriptionKey,"A disciple of Total Rockball, Van Rock is capable of delivering exquisite play and destroying his rivals' efforts to win."
monster_Vapwhirl_descriptionKey,"Vapwhirl is your best partner in battle. He may not defeat the strongest monsters alone, but he has the ability to twist the battle in your favor!"
monster_Vixsun_descriptionKey,Nature’s light is fantastically embodied in the form of the graceful Vixsun. These light-infused nature monsters move with grace and purpose wherever they roam. Look out for them in the realms of Nature and Light.
monster_Vortux_descriptionKey,"Vortux is a pure Dark energy soul. During combat against a soldier, Vortux absorbed his enemy's soul and stole his armor as a trophy. Now he wears the armor to hide his real shape."
monster_WhiteWalker_descriptionKey,"Without water there's no life. But at certain temperatures, water may be deadly. This evil creature will freeze the liquid element to hurt his enemies. Winter is coming."
monster_Wisteria_descriptionKey,"Wisteria made a pact with the Devil, and now she's very powerful. But as always, dealing with the Devil comes at a price: she has the soul of a crow and only has the power to control these scary creatures."
monster_Wolfkami_descriptionKey,Oriental tales speak of the goddess of thunder taking the form of a white wolf. Wolfkami can manipulate the power of nature to its will. Its fast movements can be a headache for its rivals.
monster_wOlftagnan_descriptionKey,"Being the seventh son of a wealthy family gave w'Olftagnan three things: a weird name, an opportunity to become a master of the sword, and the curse of lycanthropy."
monster_WorkerHulk_descriptionKey,"All Workers eat Gems when they need to rush to do a task. This one ate too many gems in one go, and was transformed because of this. Other workers trying to achieve the same results simply explode. It seems this one is special.."
monster_Zim_descriptionKey,"There is so much more to Zim than meets the eye. There is incredible depth and talent behind the mask. Incredibly quick wits, power and will in such an unexpected package!"
monster_Pandiana_descriptionKey,"Pandiana is a true adventurer! He is always trying to find the most amazing treasures around the world. Now, he is in our island. What kind of uncanny treasures will find here?"
monster_Slayentaur_descriptionKey,"This medieval centaur was tormented by a dragon for years, but as they both grew strong, they became friends. Now, in the toughest moments of his battles, Slayentaur summons the dragon, who immediately comes and helps him."
monster_Varuna_descriptionKey,"Varuna was an ambitious pirate. When he drowned after his ship sank, Death visited him. He asked Death to live without a soul under the sea instead of dying, a wish he was granted. Now he torments the good souls of the deep oceans."
monster_Pandaxplorer_descriptionKey,The most adventurous member of our favorite panda family knows no limits. He will cross jungles and deserts to find all sorts of treasures… and the most delicious bamboo.
monster_Rascal_descriptionKey,Rascal loves to torment all neat freaks. When he goes through walls he leaves a pink shade on them that is impossible to erase. He’s not a very discreet monster.
monster_TheFirestorm_descriptionKey,A superhero so strong that he can carry meteorites as if they were ping pong balls and so hot that ladies literally melt whenever he comes close. He’s on fire.
monster_Ultrabot_descriptionKey,"Evil robots usually work for human villains, but this one is his own boss. He’s the real, the authentic, the ultimate robot supervillain!"
monster_Aiden_descriptionKey,"The proof that you can be hot and cool at the same time. Aiden doesn't even need to try hard, he was born like that. Put him on your island if you want to have a portable steambath. Ladies will love him."
monster_Chocolove_descriptionKey,"If you want to help your mother with her diet, Chocolove is the perfect chocolate box for her. It’s full of deliciousness, but she’ll never know, because as soon as she tries to take a chocolate from it, it’ll bite her hand off."
